test_name,n,TP,TN,FP,FN
caida,1895280887,30249804,1865031083,0,0
caida_lee_delta_0_min_no_max_no,1895219743,30248828,1839405175,25565740,0
caida_lee_delta_0_min_no_max_yes,1895219743,30248828,1858461955,6508960,0
caida_lee_delta_0_min_yes_max_no,1895219743,30248828,1859269125,5701790,0
caida_lee_delta_0_min_yes_max_yes,1895219743,30248828,1864970915,0,0
caida_lee_delta_1_min_no_max_no,1895219743,30248826,1850698718,14272197,2
caida_lee_delta_1_min_no_max_yes,1895219743,30248826,1862041597,2929318,2
caida_lee_delta_1_min_yes_max_no,1895219743,30248826,1862337298,2633617,2
caida_lee_delta_1_min_yes_max_yes,1895219743,30248826,1864970915,0,2
caida_lee_delta_60_min_no_max_no,1895219743,30248828,1850579866,14391049,0
caida_lee_delta_60_min_no_max_yes,1895219743,30248828,1862035297,2935618,0
caida_lee_delta_60_min_yes_max_no,1895219743,30248828,1862224746,2746169,0
caida_lee_delta_60_min_yes_max_yes,1895219743,30248828,1864970915,0,0
caida_lukashin,1894447415,0,1864209502,1465,30236448
