test_name,n,TP,TN,FP,FN
univ1,1981915262,19855388,1962059874,0,0
univ1_lee_delta_0_min_no_max_no,1981851141,19854761,1635155086,326841294,0
univ1_lee_delta_0_min_no_max_yes,1981851141,19854761,1691705315,270291065,0
univ1_lee_delta_0_min_yes_max_no,1981851141,19854761,1958093854,3902526,0
univ1_lee_delta_0_min_yes_max_yes,1981851141,19854761,1961996380,0,0
univ1_lee_delta_1_min_no_max_no,1981851141,19854761,1718196028,243800352,0
univ1_lee_delta_1_min_no_max_yes,1981851141,19854761,1764019366,197977014,0
univ1_lee_delta_1_min_yes_max_no,1981851141,19854761,1959942727,2053653,0
univ1_lee_delta_1_min_yes_max_yes,1981851141,19854761,1961996380,0,0
univ1_lee_delta_60_min_no_max_no,1981851141,19854761,1718028849,243967531,0
univ1_lee_delta_60_min_no_max_yes,1981851141,19854761,1763852440,198143940,0
univ1_lee_delta_60_min_yes_max_no,1981851141,19854761,1959942474,2053906,0
univ1_lee_delta_60_min_yes_max_yes,1981851141,19854761,1961996380,0,0
univ1_lukashin,1981852858,3550847,1959272690,2725390,16303931

