test_name,n,TP,TN,FP,FN
download,1245482558,131873,1245350685,0,0
download_lee_delta_0_min_no_max_no,1245075602,131810,1240146960,4796832,0
download_lee_delta_0_min_no_max_yes,1245075602,131810,1241216196,3727596,0
download_lee_delta_0_min_yes_max_no,1245075602,131810,1244596699,347093,0
download_lee_delta_0_min_yes_max_yes,1245075602,131810,1244943792,0,0
download_lee_delta_1_min_no_max_no,1245075602,131801,1241350510,3593282,9
download_lee_delta_1_min_no_max_yes,1245075602,131801,1241961104,2982688,9
download_lee_delta_1_min_yes_max_no,1245075602,131801,1244696180,247612,9
download_lee_delta_1_min_yes_max_yes,1245075602,131801,1244943792,0,9
download_lee_delta_60_min_no_max_no,1245075602,131810,1241348420,3595372,0
download_lee_delta_60_min_no_max_yes,1245075602,131810,1241959960,2983832,0
download_lee_delta_60_min_yes_max_no,1245075602,131810,1244695234,248558,0
download_lee_delta_60_min_yes_max_yes,1245075602,131810,1244943792,0,0
download_lukashin,1245262422,131797,1244531559,599035,31
