test_name,n,TP,TN,FP,FN
hadoop,1273643682,194315,1273449367,0,0
hadoop_lee_delta_0_min_no_max_no,1273387039,193975,1273079451,113613,0
hadoop_lee_delta_0_min_no_max_yes,1273387039,193975,1273171421,21643,0
hadoop_lee_delta_0_min_yes_max_no,1273387039,193975,1273170523,22541,0
hadoop_lee_delta_0_min_yes_max_yes,1273387039,193975,1273193064,0,0
hadoop_lee_delta_1_min_no_max_no,1273387039,193961,1273102873,90191,14
hadoop_lee_delta_1_min_no_max_yes,1273387039,193961,1273185568,7496,14
hadoop_lee_delta_1_min_yes_max_no,1273387039,193961,1273172369,20695,14
hadoop_lee_delta_1_min_yes_max_yes,1273387039,193961,1273193064,0,14
hadoop_lee_delta_60_min_no_max_no,1273387039,193975,1273102768,90296,0
hadoop_lee_delta_60_min_no_max_yes,1273387039,193975,1273185559,7505,0
hadoop_lee_delta_60_min_yes_max_no,1273387039,193975,1273172273,20791,0
hadoop_lee_delta_60_min_yes_max_yes,1273387039,193975,1273193064,0,0
hadoop_lukashin,1273452157,193941,1273258120,45,51
