test_name,n,TP,TN,FP,FN
mpi,294396469,250935,294145534,0,0
mpi_lee_delta_0_min_no_max_no,293911320,248950,293390065,272305,0
mpi_lee_delta_0_min_no_max_yes,293911320,248950,293590068,72302,0
mpi_lee_delta_0_min_yes_max_no,293911320,248950,293525386,136984,0
mpi_lee_delta_0_min_yes_max_yes,293911320,248950,293632967,29403,0
mpi_lee_delta_1_min_no_max_no,293911320,248949,293510017,152353,1
mpi_lee_delta_1_min_no_max_yes,293911320,248949,293613299,49071,1
mpi_lee_delta_1_min_yes_max_no,293911320,248949,293588123,74247,1
mpi_lee_delta_1_min_yes_max_yes,293911320,248949,293632969,29401,1
mpi_lee_delta_60_min_no_max_no,293911320,248950,293507774,154596,0
mpi_lee_delta_60_min_no_max_yes,293911320,248950,293611620,50750,0
mpi_lee_delta_60_min_yes_max_no,293911320,248950,293587557,74813,0
mpi_lee_delta_60_min_yes_max_yes,293911320,248950,293632967,29403,0
mpi_lukashin,294171872,249173,293893213,29485,1
