test_name,n,TP,TN,FP,FN
netflix7,1391495974,749776,1390746198,0,0
netflix7_lee_delta_0_min_no_max_no,1391420005,749604,1386567625,4102776,0
netflix7_lee_delta_0_min_no_max_yes,1391420005,749604,1387255033,3415368,0
netflix7_lee_delta_0_min_yes_max_no,1391420005,749604,1390522624,147777,0
netflix7_lee_delta_0_min_yes_max_yes,1391420005,749604,1390670401,0,0
netflix7_lee_delta_1_min_no_max_no,1391420005,749435,1387701760,2968641,169
netflix7_lee_delta_1_min_no_max_yes,1391420005,749435,1388040883,2629518,169
netflix7_lee_delta_1_min_yes_max_no,1391420005,749435,1390584677,85724,169
netflix7_lee_delta_1_min_yes_max_yes,1391420005,749435,1390670401,0,169
netflix7_lee_delta_60_min_no_max_no,1391420005,749604,1387696131,2974270,0
netflix7_lee_delta_60_min_no_max_yes,1391420005,749604,1388039881,2630520,0
netflix7_lee_delta_60_min_yes_max_no,1391420005,749604,1390580050,90351,0
netflix7_lee_delta_60_min_yes_max_yes,1391420005,749604,1390670401,0,0
netflix7_lukashin,1391455693,749672,1390705837,184,0
