test_name,n,TP,TN,FP,FN
p2p,1415974404,1390207,1414584197,0,0
p2p_lee_delta_0_min_no_max_no,1415599235,1389110,1413130047,1080078,0
p2p_lee_delta_0_min_no_max_yes,1415599235,1389110,1414158405,51720,0
p2p_lee_delta_0_min_yes_max_no,1415599161,1389110,1413605687,604364,0
p2p_lee_delta_0_min_yes_max_yes,1415599161,1389110,1414210051,0,0
p2p_lee_delta_1_min_no_max_no,1415599161,1389109,1413594454,615597,1
p2p_lee_delta_1_min_no_max_yes,1415599161,1389109,1414183874,26177,1
p2p_lee_delta_1_min_yes_max_no,1415599161,1389109,1413958477,251574,1
p2p_lee_delta_1_min_yes_max_yes,1415599161,1389109,1414210051,0,1
p2p_lee_delta_60_min_no_max_no,1415599161,1389110,1413594207,615844,0
p2p_lee_delta_60_min_no_max_yes,1415599161,1389110,1414183863,26188,0
p2p_lee_delta_60_min_yes_max_no,1415599161,1389110,1413958241,251810,0
p2p_lee_delta_60_min_yes_max_yes,1415599161,1389110,1414210051,0,0
p2p_lukashin,1415729279,1389214,1414339719,346,0
